Horizontal Position [m],Intensity [ph/s/.1%bw/mm²]
-1.693963868e-4,3.231110608e+14
-1.675538270e-4,3.331801418e+14
-1.657112671e-4,3.402186201e+14
-1.638687073e-4,3.456669875e+14
-1.620261474e-4,3.528590444e+14
-1.601835876e-4,3.604298638e+14
-1.583410277e-4,3.653050208e+14
-1.564984679e-4,3.692024352e+14
-1.546559081e-4,3.747481104e+14
-1.528133482e-4,3.805432963e+14
-1.509707884e-4,3.832807676e+14
-1.491282285e-4,3.857768482e+14
-1.472856687e-4,3.907767606e+14
-1.454431088e-4,3.944904309e+14
-1.436005490e-4,3.949916670e+14
-1.417579891e-4,3.977162869e+14
-1.399154293e-4,4.019433735e+14
-1.380728695e-4,4.026627470e+14
-1.362303096e-4,4.028037092e+14
-1.343877498e-4,4.063831282e+14
-1.325451899e-4,4.080827944e+14
-1.307026301e-4,4.069847592e+14
-1.288600702e-4,4.087134835e+14
-1.270175104e-4,4.113523383e+14
-1.251749505e-4,4.101167299e+14
-1.233323907e-4,4.099961688e+14
-1.214898308e-4,4.126824024e+14
-1.196472710e-4,4.122500871e+14
-1.178047112e-4,4.105857202e+14
-1.159621513e-4,4.126851874e+14
-1.141195915e-4,4.132868519e+14
-1.122770316e-4,4.108154002e+14
-1.104344718e-4,4.117727082e+14
-1.085919119e-4,4.132748394e+14
-1.067493521e-4,4.108542227e+14
-1.049067922e-4,4.103699316e+14
-1.030642324e-4,4.123371944e+14
-1.012216726e-4,4.104769367e+14
-9.937911272e-5,4.092043513e+14
-9.753655287e-5,4.104835469e+14
-9.569399303e-5,4.096247212e+14
-9.385143318e-5,4.081110472e+14
-9.200887334e-5,4.089402779e+14
-9.016631349e-5,4.074812641e+14
-8.832375365e-5,4.072950035e+14
-8.648119380e-5,4.075735388e+14
-8.463863396e-5,4.056904976e+14
-8.279607412e-5,4.049520652e+14
-8.095351427e-5,4.071714896e+14
-7.911095443e-5,4.039377819e+14
-7.726839458e-5,4.033898044e+14
-7.542583474e-5,4.045990391e+14
-7.358327489e-5,4.038537280e+14
-7.174071505e-5,4.019706533e+14
-6.989815520e-5,4.030550990e+14
-6.805559536e-5,4.008432915e+14
-6.621303552e-5,4.030762383e+14
-6.437047567e-5,4.014068382e+14
-6.252791583e-5,3.996189909e+14
-6.068535598e-5,4.005238869e+14
-5.884279614e-5,4.020158176e+14
-5.700023629e-5,3.991731532e+14
-5.515767645e-5,4.002319633e+14
-5.331511660e-5,3.984921324e+14
-5.147255676e-5,4.001506609e+14
-4.962999691e-5,4.012220875e+14
-4.778743707e-5,3.979420075e+14
-4.594487723e-5,3.988143557e+14
-4.410231738e-5,3.994817869e+14
-4.225975754e-5,4.004974460e+14
-4.041719769e-5,4.001681763e+14
-3.857463785e-5,3.988973693e+14
-3.673207800e-5,3.978609065e+14
-3.488951816e-5,4.024264231e+14
-3.304695831e-5,4.003082996e+14
-3.120439847e-5,4.021002070e+14
-2.936183863e-5,3.990211852e+14
-2.751927878e-5,4.003721873e+14
-2.567671894e-5,4.040155610e+14
-2.383415909e-5,4.032215290e+14
-2.199159925e-5,4.043323149e+14
-2.014903940e-5,4.013021148e+14
-1.830647956e-5,4.033564178e+14
-1.646391971e-5,4.065899242e+14
-1.462135987e-5,4.076768529e+14
-1.277880003e-5,4.084577987e+14
-1.093624018e-5,4.053500208e+14
-9.093680336e-6,4.071461224e+14
-7.251120492e-6,4.096590474e+14
-5.408560647e-6,4.134644220e+14
-3.566000803e-6,4.145063542e+14
-1.723440958e-6,4.123900426e+14
1.191188863e-7,4.120934215e+14
1.961678731e-6,4.135110627e+14
3.804238575e-6,4.185830164e+14
5.646798420e-6,4.222690378e+14
7.489358264e-6,4.222022310e+14
9.331918109e-6,4.215591603e+14
1.117447795e-5,4.187385412e+14
1.301703780e-5,4.236346361e+14
1.485959764e-5,4.269663563e+14
1.670215749e-5,4.335140004e+14
1.854471733e-5,4.346190150e+14
2.038727718e-5,4.319881797e+14
2.222983702e-5,4.320442156e+14
2.407239686e-5,4.306555990e+14
2.591495671e-5,4.385983693e+14
2.775751655e-5,4.439305376e+14
2.960007640e-5,4.494431281e+14
3.144263624e-5,4.507099757e+14
3.328519609e-5,4.468930920e+14
3.512775593e-5,4.458434087e+14
3.697031578e-5,4.467441103e+14
3.881287562e-5,4.532145456e+14
4.065543547e-5,4.619305778e+14
4.249799531e-5,4.699503219e+14
4.434055515e-5,4.708809541e+14
4.618311500e-5,4.718827217e+14
4.802567484e-5,4.646899936e+14
4.986823469e-5,4.656628373e+14
5.171079453e-5,4.673072058e+14
5.355335438e-5,4.764762227e+14
